,loss,conv,dataset,train acc micro,test acc micro,train acc macro,test acc macro,label assortativity,feature assortativity,cluster coefficient,average shortest path,average degree,group
43,HOPE_Katz,GAT,0.10.50.225,0.7660485021398004,0.1105527638190954,0.7661168294071667,0.0967397196307141,0.1,0.5,0.2,2.0,5.0,1.0
44,HOPE_Katz,SAGE,0.10.50.225,0.362339514978602,0.0402010050251256,0.3596057446849709,0.0360471070148489,0.1,0.5,0.2,2.0,5.0,1.0
45,HOPE_Katz,GCN,0.10.50.2220,0.3908701854493581,0.1909547738693467,0.3925197758099512,0.1761982940704127,0.1,0.5,0.2,2.0,20.0,1.0
46,HOPE_Katz,GAT,0.10.50.2220,0.2767475035663338,0.1407035175879397,0.2818061018943383,0.1543261265183077,0.1,0.5,0.2,2.0,20.0,1.0
47,HOPE_Katz,SAGE,0.10.50.2220,0.2125534950071326,0.0804020100502512,0.2056483900272209,0.0673938746438746,0.1,0.5,0.2,2.0,20.0,1.0
48,HOPE_Katz,GCN,0.10.50.2240,0.3523537803138373,0.1306532663316583,0.3499010709571993,0.1192686484081836,0.1,0.5,0.2,2.0,40.0,1.0
49,HOPE_Katz,GAT,0.10.50.2240,0.3009985734664764,0.100502512562814,0.2978753028355594,0.08806062492337,0.1,0.5,0.2,2.0,40.0,1.0
50,HOPE_Katz,SAGE,0.10.50.2240,0.5164051355206848,0.0854271356783919,0.5165714851724328,0.0820754622321665,0.1,0.5,0.2,2.0,40.0,1.0
51,HOPE_Katz,GCN,0.10.50.232,0.3823109843081313,0.1055276381909547,0.3816896751762212,0.1029477566483444,0.1,0.5,0.2,3.0,2.0,1.0
52,HOPE_Katz,GAT,0.10.50.232,0.3951497860199714,0.135678391959799,0.3984105546798223,0.1391491473820278,0.1,0.5,0.2,3.0,2.0,1.0
53,HOPE_Katz,SAGE,0.10.50.232,0.3566333808844508,0.0753768844221105,0.3690504812232099,0.0552563400839262,0.1,0.5,0.2,3.0,2.0,1.0
54,HOPE_Katz,GCN,0.10.50.235,0.3594864479315264,0.1457286432160804,0.356561234989517,0.1421383254777084,0.1,0.5,0.2,3.0,5.0,1.0
55,HOPE_Katz,GAT,0.10.50.235,0.550641940085592,0.1457286432160804,0.5496503176681206,0.14226766953096,0.1,0.5,0.2,3.0,5.0,1.0
56,HOPE_Katz,SAGE,0.10.50.235,0.3252496433666191,0.0854271356783919,0.3214416791441835,0.0819520018202882,0.1,0.5,0.2,3.0,5.0,1.0
57,HOPE_Katz,GCN,0.10.50.2320,0.6134094151212554,0.1407035175879397,0.613057481901462,0.1323498930936001,0.1,0.5,0.2,3.0,20.0,1.0
58,HOPE_Katz,GAT,0.10.50.2320,0.5492154065620543,0.1407035175879397,0.5522163333745795,0.1157345159408684,0.1,0.5,0.2,3.0,20.0,1.0
59,HOPE_Katz,SAGE,0.10.50.2320,0.202567760342368,0.0452261306532663,0.2004891080698573,0.0432036089798238,0.1,0.5,0.2,3.0,20.0,1.0
60,HOPE_Katz,GCN,0.10.50.242,0.4094151212553495,0.1457286432160804,0.4102747851736771,0.1412367798599682,0.1,0.5,0.2,4.0,2.0,1.0
61,HOPE_Katz,GAT,0.10.50.242,0.833095577746077,0.1256281407035175,0.8339682530209996,0.1205214034398422,0.1,0.5,0.2,4.0,2.0,1.0
62,HOPE_Katz,SAGE,0.10.50.242,0.1840228245363766,0.0452261306532663,0.1810083403549125,0.0158834749436448,0.1,0.5,0.2,4.0,2.0,1.0
63,HOPE_Katz,GCN,0.10.50.245,0.3537803138373751,0.0954773869346733,0.3502634442178954,0.0950807672669,0.1,0.5,0.2,4.0,5.0,1.0
64,HOPE_Katz,GAT,0.10.50.245,0.4821683309557774,0.1809045226130653,0.4803083837085627,0.1767050714429283,0.1,0.5,0.2,4.0,5.0,1.0
65,HOPE_Katz,SAGE,0.10.50.245,0.746077032810271,0.0954773869346733,0.7462916572307763,0.0929464593279744,0.1,0.5,0.2,4.0,5.0,1.0
66,HOPE_Katz,GCN,0.10.50.525,0.3309557774607703,0.1256281407035175,0.3308101171873983,0.0982843179985162,0.1,0.5,0.5,2.0,5.0,1.0
67,HOPE_Katz,GAT,0.10.50.525,0.5492154065620543,0.1206030150753768,0.5493516375200554,0.1043237071108773,0.1,0.5,0.5,2.0,5.0,1.0
68,HOPE_Katz,SAGE,0.10.50.525,0.2981455064194008,0.0753768844221105,0.2974438215910819,0.0633881205970822,0.1,0.5,0.5,2.0,5.0,1.0
69,HOPE_Katz,GCN,0.10.50.5220,0.1897289586305278,0.1256281407035175,0.1891413107359701,0.1148427243968627,0.1,0.5,0.5,2.0,20.0,1.0
70,HOPE_Katz,GAT,0.10.50.5220,0.3238231098430813,0.0753768844221105,0.3218110705058233,0.0655637895683685,0.1,0.5,0.5,2.0,20.0,1.0
71,HOPE_Katz,SAGE,0.10.50.5220,0.2938659058487874,0.0452261306532663,0.2921749992029313,0.0462567476383265,0.1,0.5,0.5,2.0,20.0,1.0
72,HOPE_Katz,GCN,0.10.50.5240,0.3152639087018545,0.1809045226130653,0.3143964829868707,0.1707881417899087,0.1,0.5,0.5,2.0,40.0,1.0
73,HOPE_Katz,GAT,0.10.50.5240,0.2853067047075606,0.0954773869346733,0.2912207623188571,0.0757386280589387,0.1,0.5,0.5,2.0,40.0,1.0
74,HOPE_Katz,SAGE,0.10.50.5240,0.579172610556348,0.0552763819095477,0.5775947722773113,0.0474038461538461,0.1,0.5,0.5,2.0,40.0,1.0
75,HOPE_Katz,GCN,0.10.50.535,0.3495007132667617,0.1256281407035175,0.348638416587656,0.1131679155992881,0.1,0.5,0.5,3.0,5.0,1.0
76,HOPE_Katz,GAT,0.10.50.535,0.5420827389443652,0.1306532663316583,0.5422660230914109,0.1230836787343156,0.1,0.5,0.5,3.0,5.0,1.0
77,HOPE_Katz,SAGE,0.10.50.535,0.2353780313837375,0.0954773869346733,0.2330131188047482,0.0852132430453796,0.1,0.5,0.5,3.0,5.0,1.0
78,HOPE_Katz,GCN,0.10.50.5320,0.5221112696148359,0.1306532663316583,0.5214804643176849,0.1244332183954038,0.1,0.5,0.5,3.0,20.0,1.0
79,HOPE_Katz,GAT,0.10.50.5320,0.3295292439372325,0.1055276381909547,0.3323349216341757,0.0720695045695045,0.1,0.5,0.5,3.0,20.0,1.0
80,HOPE_Katz,SAGE,0.10.50.5320,0.2467902995720399,0.0753768844221105,0.2404503559804018,0.0581914491119857,0.1,0.5,0.5,3.0,20.0,1.0
81,HOPE_Katz,GCN,0.10.50.545,0.4921540656205421,0.1658291457286432,0.4923115069913849,0.1616795281448218,0.1,0.5,0.5,4.0,5.0,1.0
82,HOPE_Katz,GAT,0.10.50.545,0.5820256776034237,0.1608040201005025,0.5917250979831763,0.1639302672636006,0.1,0.5,0.5,4.0,5.0,1.0
83,HOPE_Katz,SAGE,0.10.50.545,0.3352353780313837,0.0854271356783919,0.3339894547537741,0.0859116160403038,0.1,0.5,0.5,4.0,5.0,1.0
84,HOPE_Katz,GCN,0.10.90.225,0.4051355206847361,0.1256281407035175,0.3995215514708991,0.1109592866945808,0.1,0.9,0.2,2.0,5.0,1.0
85,HOPE_Katz,GAT,0.10.90.225,0.4022824536376604,0.1105527638190954,0.3945293239399091,0.0956059238244593,0.1,0.9,0.2,2.0,5.0,1.0
86,HOPE_Katz,SAGE,0.10.90.225,0.1897289586305278,0.0402010050251256,0.1799210934954612,0.03231698646991,0.1,0.9,0.2,2.0,5.0,1.0
87,HOPE_Katz,GCN,0.10.90.2220,0.2310984308131241,0.0653266331658291,0.2283669053194403,0.0598905655112748,0.1,0.9,0.2,2.0,20.0,1.0
88,HOPE_Katz,GAT,0.10.90.2220,0.2325249643366619,0.0753768844221105,0.2271448039548932,0.0593150173413331,0.1,0.9,0.2,2.0,20.0,1.0
89,HOPE_Katz,SAGE,0.10.90.2220,0.2296718972895863,0.0402010050251256,0.2229384859047798,0.0320825737729762,0.1,0.9,0.2,2.0,20.0,1.0
90,HOPE_Katz,GCN,0.10.90.2240,0.3823109843081313,0.100502512562814,0.3795004249623287,0.0889134418213365,0.1,0.9,0.2,2.0,40.0,1.0
91,HOPE_Katz,GAT,0.10.90.2240,0.2082738944365192,0.0954773869346733,0.2020187850602398,0.0879298327518141,0.1,0.9,0.2,2.0,40.0,1.0
92,HOPE_Katz,SAGE,0.10.90.2240,0.2139800285306704,0.0854271356783919,0.2101215930739013,0.0831292625586293,0.1,0.9,0.2,2.0,40.0,1.0
93,HOPE_Katz,GCN,0.10.90.232,0.2039942938659058,0.0804020100502512,0.1972273469993565,0.0706762862808227,0.1,0.9,0.2,3.0,2.0,1.0
94,HOPE_Katz,GAT,0.10.90.232,0.3566333808844508,0.1155778894472361,0.3551946815840777,0.1164318251775345,0.1,0.9,0.2,3.0,2.0,1.0
95,HOPE_Katz,SAGE,0.10.90.232,0.3794579172610556,0.0653266331658291,0.3739134847639172,0.0628018296856969,0.1,0.9,0.2,3.0,2.0,1.0
96,HOPE_Katz,GCN,0.10.90.235,0.6062767475035663,0.0954773869346733,0.606005559803924,0.0924975734185645,0.1,0.9,0.2,3.0,5.0,1.0
97,HOPE_Katz,GAT,0.10.90.235,0.3594864479315264,0.0854271356783919,0.3581291559538585,0.0781301813522477,0.1,0.9,0.2,3.0,5.0,1.0
98,HOPE_Katz,SAGE,0.10.90.235,0.3138373751783166,0.1306532663316583,0.3093577364571596,0.1199121672231891,0.1,0.9,0.2,3.0,5.0,1.0
99,HOPE_Katz,GCN,0.10.90.2320,0.572039942938659,0.1658291457286432,0.5709943582605965,0.1572541855534287,0.1,0.9,0.2,3.0,20.0,1.0
100,HOPE_Katz,GAT,0.10.90.2320,0.7146932952924394,0.1206030150753768,0.715905053046552,0.1206971452358285,0.1,0.9,0.2,3.0,20.0,1.0
101,HOPE_Katz,SAGE,0.10.90.2320,0.5962910128388017,0.0653266331658291,0.594225096162482,0.0548525403427364,0.1,0.9,0.2,3.0,20.0,1.0
102,HOPE_Katz,GCN,0.10.90.242,0.3295292439372325,0.1155778894472361,0.3461135463702831,0.1087256827103562,0.1,0.9,0.2,4.0,2.0,1.0
