,loss,conv,dataset,train acc micro,test acc micro,train acc macro,test acc macro
122,HOPE_RPR,GCN,Wisconsin,0.7102272727272727,0.6,0.67,0.3123157894736842
123,HOPE_RPR,GAT,Wisconsin,0.5454545454545454,0.5,0.3143439500608284,0.2448717948717949
124,HOPE_RPR,SAGE,Wisconsin,0.9715909090909092,0.88,0.9670146842350912,0.7676082761578044
125,HOPE_RPR,GCN,Actor,0.3583912798346176,0.3015141540487163,0.3177729779355892,0.2652246474964184
126,HOPE_RPR,GAT,Actor,0.3574516068408194,0.293614219881501,0.3216753422659096,0.2617175108341147
127,HOPE_RPR,SAGE,Actor,0.3760571321180229,0.336405529953917,0.3364285883961002,0.2921786111008762
128,HOPE_Katz,GCN,Cornell,0.5426356589147286,0.5277777777777778,0.1407035175879397,0.1727272727272727
129,HOPE_Katz,GAT,Cornell,0.5426356589147286,0.5277777777777778,0.1551020408163265,0.1727272727272727
130,HOPE_Katz,SAGE,Cornell,0.5658914728682171,0.5277777777777778,0.2329545454545454,0.1759259259259259
131,HOPE_Katz,GCN,Texas,0.5426356589147286,0.5277777777777778,0.1407035175879397,0.3290043290043289
132,HOPE_Katz,GAT,Texas,0.5891472868217055,0.5277777777777778,0.2276160990712074,0.1727272727272727
133,HOPE_Katz,SAGE,Texas,0.7209302325581395,0.6944444444444444,0.4469738622457823,0.6004794663331249
134,HOPE_Katz,GCN,Wisconsin,0.5909090909090909,0.54,0.3433938106134902,0.2857142857142857
135,HOPE_Katz,GAT,Wisconsin,0.5397727272727273,0.62,0.3058722660233225,0.3392564242755604
136,HOPE_Katz,SAGE,Wisconsin,0.6136363636363636,0.6,0.3173459646030697,0.2898550724637681
137,HOPE_Katz,GCN,Actor,0.3572636722420597,0.2962475312705727,0.3201341548903821,0.2594340338771091
138,HOPE_Katz,GAT,Actor,0.3535049802668671,0.2988808426596445,0.3203085374348909,0.2642451316437151
139,HOPE_Katz,SAGE,Actor,0.3952264611915053,0.3357472021066491,0.3625591625896652,0.3081025821991007
140,DeepWalk,GCN,Cornell,0.8217054263565892,0.5833333333333334,0.808009768009768,0.4489130434782609
141,DeepWalk,GAT,Cornell,0.6821705426356589,0.5555555555555556,0.4479498607754302,0.3278388278388278
142,DeepWalk,SAGE,Cornell,0.8449612403100775,0.5833333333333334,0.842077922077922,0.3460111317254174
143,DeepWalk,GCN,Texas,0.7286821705426357,0.6388888888888888,0.4591562722302262,0.4628787878787878
144,DeepWalk,GAT,Texas,0.7364341085271318,0.6666666666666666,0.4504341736694678,0.482051282051282
145,DeepWalk,SAGE,Texas,0.6744186046511628,0.5277777777777778,0.3819755276766937,0.316260162601626
146,DeepWalk,GCN,Wisconsin,0.7329545454545454,0.56,0.6421459018389963,0.4049645390070923
147,DeepWalk,GAT,Wisconsin,0.6988636363636364,0.54,0.6083282182438193,0.2497297297297297
148,DeepWalk,SAGE,Wisconsin,0.8977272727272727,0.8599999999999999,0.8675706599587742,0.549404761904762
149,LapEigen,GCN,Cornell,0.6124031007751938,0.5833333333333334,0.31913772691397,0.3112745098039216
150,APP,GCN,Cornell,0.5426356589147286,0.5277777777777778,0.1407035175879397,0.1727272727272727
151,APP,GAT,Cornell,0.5426356589147286,0.5277777777777778,0.1407035175879397,0.1727272727272727
152,APP,SAGE,Cornell,0.5426356589147286,0.5277777777777778,0.1407035175879397,0.1727272727272727
153,APP,GCN,Texas,0.6046511627906976,0.5833333333333334,0.2536585365853658,0.3028846153846153
154,APP,GAT,Texas,0.5426356589147286,0.5277777777777778,0.1407035175879397,0.1727272727272727
155,APP,SAGE,Texas,0.8449612403100775,0.6666666666666666,0.6370995670995672,0.4208074534161491
156,APP,GCN,Wisconsin,0.5170454545454546,0.52,0.216062331435421,0.2541310541310541
157,APP,GAT,Wisconsin,0.4715909090909091,0.46,0.1281853281853281,0.1575342465753424
158,APP,SAGE,Wisconsin,0.8181818181818182,0.82,0.6630692511477925,0.7084293394777266
159,Node2Vec,GCN,Cornell,0.7751937984496124,0.5833333333333334,0.7642145139891359,0.4221230158730158
160,Node2Vec,GAT,Cornell,0.6666666666666666,0.5277777777777778,0.3947779622754155,0.2286324786324786
161,Node2Vec,SAGE,Cornell,0.9844961240310076,0.6111111111111112,0.9844058137645748,0.3914656771799628
162,Node2Vec,GCN,Texas,0.751937984496124,0.6666666666666666,0.4887844611528821,0.4228678929765886
163,Node2Vec,GAT,Texas,0.7131782945736435,0.5833333333333334,0.4014503696712285,0.358531746031746
164,Node2Vec,SAGE,Texas,0.9069767441860463,0.75,0.9142880928595212,0.6046453546453546
165,Node2Vec,GCN,Wisconsin,0.75,0.6,0.6966749958354156,0.3491764705882353
166,Node2Vec,GAT,Wisconsin,0.7102272727272727,0.54,0.6393196920626018,0.2365591397849462
167,Node2Vec,SAGE,Wisconsin,0.8579545454545454,0.8000000000000002,0.8104931300583476,0.5158135981665393
168,VERSE_SR,GCN,Cornell,0.5891472868217055,0.5,0.259463960447567,0.2467948717948717
169,VERSE_SR,GAT,Cornell,0.6124031007751938,0.5,0.3150119693730241,0.2259615384615384
